competencia;ano;mes;cod_grande_grupamento;grande_grupamento;grupamento;cod_secao;secao;cod_divisao;divisao;cod_grupo;grupo;cod_classe;classe;cod_subclasse;subclasse;admitidos;desligados;saldo;tempo_de_emprego_desligados;estoque_mensal;vr_relativa
202001;2020;01;4;Comércio;Comércio, reparação de veículos automotores e motocicletas;G;Comércio, Reparação de Veículos Automotores e Motocicletas;45;Comércio e Reparação de Veículos Automotores e Motocicletas;451;Comércio de Veículos Automotores;45111;Comércio a Varejo e por Atacado de Veículos Automotores;4511101;Comércio a Varejo de Automóveis, Camionetas e Utilitários Novos;389;390;-1;23.343589743589742;10933;-9.1457837936711176E-05
202001;2020;01;4;Comércio;Comércio, reparação de veículos automotores e motocicletas;G;Comércio, Reparação de Veículos Automotores e Motocicletas;45;Comércio e Reparação de Veículos Automotores e Motocicletas;451;Comércio de Veículos Automotores;45111;Comércio a Varejo e por Atacado de Veículos Automotores;4511102;Comércio a Varejo de Automóveis, Camionetas e Utilitários Usados;134;115;19;17.304347826086957;2568;0.00745390349156532
202001;2020;01;4;Comércio;Comércio, reparação de veículos automotores e motocicletas;G;Comércio, Reparação de Veículos Automotores e Motocicletas;45;Comércio e Reparação de Veículos Automotores e Motocicletas;451;Comércio de Veículos Automotores;45111;Comércio a Varejo e por Atacado de Veículos Automotores;4511103;Comércio por Atacado de Automóveis, Camionetas e Utilitários Novos e Usados;9;12;-3;17;232;-0.01276595744680851
202001;2020;01;4;Comércio;Comércio, reparação de veículos automotores e motocicletas;G;Comércio, Reparação de Veículos Automotores e Motocicletas;45;Comércio e Reparação de Veículos Automotores e Motocicletas;451;Comércio de Veículos Automotores;45111;Comércio a Varejo e por Atacado de Veículos Automotores;4511104;Comércio por Atacado de Caminhões Novos e Usados;31;47;-16;21.872340425531913;1734;-0.0091428571428571435
202001;2020;01;4;Comércio;Comércio, reparação de veículos automotores e motocicletas;G;Comércio, Reparação de Veículos Automotores e Motocicletas;45;Comércio e Reparação de Veículos Automotores e Motocicletas;451;Comércio de Veículos Automotores;45111;Comércio a Varejo e por Atacado de Veículos Automotores;4511105;Comércio por Atacado de Reboques e Semi-Reboques Novos e Usados;10;1;9;0;187;0.050561797752808987
202001;2020;01;4;Comércio;Comércio, reparação de veículos automotores e motocicletas;G;Comércio, Reparação de Veículos Automotores e Motocicletas;45;Comércio e Reparação de Veículos Automotores e Motocicletas;451;Comércio de Veículos Automotores;45111;Comércio a Varejo e por Atacado de Veículos Automotores;4511106;Comércio por Atacado de ônibus e Microônibus Novos e Usados;0;0;0;;5;
202001;2020;01;4;Comércio;Comércio, reparação de veículos automotores e motocicletas;G;Comércio, Reparação de Veículos Automotores e Motocicletas;45;Comércio e Reparação de Veículos Automotores e Motocicletas;451;Comércio de Veículos Automotores;45129;Representantes Comerciais e Agentes do Comércio de Veículos Automotores;4512901;Representantes Comerciais e Agentes do Comércio de Veículos Automotores;10;6;4;15.333333333333334;75;0.056338028169014086
202001;2020;01;4;Comércio;Comércio, reparação de veículos automotores e motocicletas;G;Comércio, Reparação de Veículos Automotores e Motocicletas;45;Comércio e Reparação de Veículos Automotores e Motocicletas;451;Comércio de Veículos Automotores;45129;Representantes Comerciais e Agentes do Comércio de Veículos Automotores;4512902;Comércio Sob Consignação de Veículos Automotores;2;7;-5;10.428571428571429;35;-0.125
202001;2020;01;4;Comércio;Comércio, reparação de veículos automotores e motocicletas;G;Comércio, Reparação de Veículos Automotores e Motocicletas;45;Comércio e Reparação de Veículos Automotores e Motocicletas;452;Manutenção e Reparação de Veículos Automotores;45200;Manutenção e Reparação de Veículos Automotores;4520001;Serviços de Manutenção e Reparação Mecânica de Veículos Automotores;387;336;51;26.142857142857142;9679;0.0052970502700457
202001;2020;01;4;Comércio;Comércio, reparação de veículos automotores e motocicletas;G;Comércio, Reparação de Veículos Automotores e Motocicletas;45;Comércio e Reparação de Veículos Automotores e Motocicletas;452;Manutenção e Reparação de Veículos Automotores;45200;Manutenção e Reparação de Veículos Automotores;4520002;Serviços de Lanternagem ou Funilaria e Pintura de Veículos Automotores;73;59;14;19.338983050847457;1625;0.0086902545003103657
202001;2020;01;4;Comércio;Comércio, reparação de veículos automotores e motocicletas;G;Comércio, Reparação de Veículos Automotores e Motocicletas;45;Comércio e Reparação de Veículos Automotores e Motocicletas;452;Manutenção e Reparação de Veículos Automotores;45200;Manutenção e Reparação de Veículos Automotores;4520003;Serviços de Manutenção e Reparação Elétrica de Veículos Automotores;37;20;17;30.25;867;0.02
202001;2020;01;4;Comércio;Comércio, reparação de veículos automotores e motocicletas;G;Comércio, Reparação de Veículos Automotores e Motocicletas;45;Comércio e Reparação de Veículos Automotores e Motocicletas;452;Manutenção e Reparação de Veículos Automotores;45200;Manutenção e Reparação de Veículos Automotores;4520004;Serviços de Alinhamento e Balanceamento de Veículos Automotores;23;19;4;11.526315789473685;382;0.010582010582010581
202001;2020;01;4;Comércio;Comércio, reparação de veículos automotores e motocicletas;G;Comércio, Reparação de Veículos Automotores e Motocicletas;45;Comércio e Reparação de Veículos Automotores e Motocicletas;452;Manutenção e Reparação de Veículos Automotores;45200;Manutenção e Reparação de Veículos Automotores;4520005;Serviços de Lavagem, Lubrificação e Polimento de Veículos Automotores;113;132;-19;15.901515151515152;1378;-0.013600572655690766
202001;2020;01;4;Comércio;Comércio, reparação de veículos automotores e motocicletas;G;Comércio, Reparação de Veículos Automotores e Motocicletas;45;Comércio e Reparação de Veículos Automotores e Motocicletas;452;Manutenção e Reparação de Veículos Automotores;45200;Manutenção e Reparação de Veículos Automotores;4520006;Serviços de Borracharia para Veículos Automotores;25;24;1;13.208333333333334;658;0.0015220700152207
202001;2020;01;4;Comércio;Comércio, reparação de veículos automotores e motocicletas;G;Comércio, Reparação de Veículos Automotores e Motocicletas;45;Comércio e Reparação de Veículos Automotores e Motocicletas;452;Manutenção e Reparação de Veículos Automotores;45200;Manutenção e Reparação de Veículos Automotores;4520007;Serviços de Instalação, Manutenção e Reparação de Acessórios para Veículos Automotores;70;41;29;20.463414634146343;832;0.0361145703611457
202001;2020;01;4;Comércio;Comércio, reparação de veículos automotores e motocicletas;G;Comércio, Reparação de Veículos Automotores e Motocicletas;45;Comércio e Reparação de Veículos Automotores e Motocicletas;452;Manutenção e Reparação de Veículos Automotores;45200;Manutenção e Reparação de Veículos Automotores;4520008;Serviços de Capotaria;2;0;2;;76;0.027027027027027029
202001;2020;01;4;Comércio;Comércio, reparação de veículos automotores e motocicletas;G;Comércio, Reparação de Veículos Automotores e Motocicletas;45;Comércio e Reparação de Veículos Automotores e Motocicletas;453;Comércio de Peças e Acessórios para Veículos Automotores;45307;Comércio de Peças e Acessórios para Veículos Automotores;4530701;Comércio por Atacado de Peças e Acessórios Novos para Veículos Automotores;195;180;15;22.655555555555555;4757;0.0031632222690847742
202001;2020;01;4;Comércio;Comércio, reparação de veículos automotores e motocicletas;G;Comércio, Reparação de Veículos Automotores e Motocicletas;45;Comércio e Reparação de Veículos Automotores e Motocicletas;453;Comércio de Peças e Acessórios para Veículos Automotores;45307;Comércio de Peças e Acessórios para Veículos Automotores;4530702;Comércio por Atacado de Pneumáticos e Câmaras-De-Ar;45;30;15;14.766666666666667;1010;0.01507537688442211
202001;2020;01;4;Comércio;Comércio, reparação de veículos automotores e motocicletas;G;Comércio, Reparação de Veículos Automotores e Motocicletas;45;Comércio e Reparação de Veículos Automotores e Motocicletas;453;Comércio de Peças e Acessórios para Veículos Automotores;45307;Comércio de Peças e Acessórios para Veículos Automotores;4530703;Comércio a Varejo de Peças e Acessórios Novos para Veículos Automotores;493;473;20;26.363636363636363;13760;0.001455604075691412
202001;2020;01;4;Comércio;Comércio, reparação de veículos automotores e motocicletas;G;Comércio, Reparação de Veículos Automotores e Motocicletas;45;Comércio e Reparação de Veículos Automotores e Motocicletas;453;Comércio de Peças e Acessórios para Veículos Automotores;45307;Comércio de Peças e Acessórios para Veículos Automotores;4530704;Comércio a Varejo de Peças e Acessórios Usados para Veículos Automotores;42;27;15;15.925925925925926;943;0.016163793103448277
202001;2020;01;4;Comércio;Comércio, reparação de veículos automotores e motocicletas;G;Comércio, Reparação de Veículos Automotores e Motocicletas;45;Comércio e Reparação de Veículos Automotores e Motocicletas;453;Comércio de Peças e Acessórios para Veículos Automotores;45307;Comércio de Peças e Acessórios para Veículos Automotores;4530705;Comércio a Varejo de Pneumáticos e Câmaras-De-Ar;143;141;2;18.148936170212767;2588;0.00077339520494972935
202001;2020;01;4;Comércio;Comércio, reparação de veículos automotores e motocicletas;G;Comércio, Reparação de Veículos Automotores e Motocicletas;45;Comércio e Reparação de Veículos Automotores e Motocicletas;453;Comércio de Peças e Acessórios para Veículos Automotores;45307;Comércio de Peças e Acessórios para Veículos Automotores;4530706;Representantes Comerciais e Agentes do Comércio de Peças e Acessórios Novos e Usados para Veículos Automotores;6;0;6;;35;0.20689655172413793
202001;2020;01;4;Comércio;Comércio, reparação de veículos automotores e motocicletas;G;Comércio, Reparação de Veículos Automotores e Motocicletas;45;Comércio e Reparação de Veículos Automotores e Motocicletas;454;Comércio, Manutenção e Reparação de Motocicletas, Peças e Acessórios;45412;Comércio por Atacado e a Varejo de Motocicletas, Peças e Acessórios;4541201;Comércio por Atacado de Motocicletas e Motonetas;0;1;-1;42;31;-0.03125
202001;2020;01;4;Comércio;Comércio, reparação de veículos automotores e motocicletas;G;Comércio, Reparação de Veículos Automotores e Motocicletas;45;Comércio e Reparação de Veículos Automotores e Motocicletas;454;Comércio, Manutenção e Reparação de Motocicletas, Peças e Acessórios;45412;Comércio por Atacado e a Varejo de Motocicletas, Peças e Acessórios;4541202;Comércio por Atacado de Peças e Acessórios para Motocicletas e Motonetas;5;9;-4;19.333333333333332;220;-0.017857142857142856
202001;2020;01;4;Comércio;Comércio, reparação de veículos automotores e motocicletas;G;Comércio, Reparação de Veículos Automotores e Motocicletas;45;Comércio e Reparação de Veículos Automotores e Motocicletas;454;Comércio, Manutenção e Reparação de Motocicletas, Peças e Acessórios;45412;Comércio por Atacado e a Varejo de Motocicletas, Peças e Acessórios;4541203;Comércio a Varejo de Motocicletas e Motonetas Novas;33;26;7;15.615384615384615;1067;0.0066037735849056606
