competencia;ano;mes;cod_grande_grupamento;grande_grupamento;grupamento;cod_secao;secao;cod_divisao;divisao;cod_grupo;grupo;cod_classe;classe;cod_subclasse;subclasse;admitidos;desligados;saldo;tempo_de_emprego_desligados;estoque_mensal;vr_relativa
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;O;Administração Pública, Defesa e Seguridade Social;84;Administração Pública, Defesa e Seguridade Social;841;Administração do Estado e da Política Econômica e Social;84116;Administração Pública em Geral;8411600;Administração Pública em Geral;4047;4502;-455;70.140382052421145;406734;-0.001117417219030966
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;O;Administração Pública, Defesa e Seguridade Social;84;Administração Pública, Defesa e Seguridade Social;841;Administração do Estado e da Política Econômica e Social;84124;Regulação das Atividades de Saúde, Educação, Serviços Culturais e Outros Serviços Sociais;8412400;Regulação das Atividades de Saúde, Educação, Serviços Culturais e Outros Serviços Sociais;178;206;-28;31.00485436893204;6032;-0.0046204620462046205
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;O;Administração Pública, Defesa e Seguridade Social;84;Administração Pública, Defesa e Seguridade Social;841;Administração do Estado e da Política Econômica e Social;84132;Regulação das Atividades Econômicas;8413200;Regulação das Atividades Econômicas;11;27;-16;284.62962962962962;3312;-0.004807692307692308
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;O;Administração Pública, Defesa e Seguridade Social;84;Administração Pública, Defesa e Seguridade Social;842;Serviços Coletivos Prestados Pela Administração Pública;84213;Relações Exteriores;8421300;Relações Exteriores;1;0;1;;15;0.071428571428571425
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;O;Administração Pública, Defesa e Seguridade Social;84;Administração Pública, Defesa e Seguridade Social;842;Serviços Coletivos Prestados Pela Administração Pública;84221;Defesa;8422100;Defesa;0;1;-1;5;617;-0.0016181229773462784
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;O;Administração Pública, Defesa e Seguridade Social;84;Administração Pública, Defesa e Seguridade Social;842;Serviços Coletivos Prestados Pela Administração Pública;84230;Justiça;8423000;Justiça;147;196;-49;21.168367346938776;7830;-0.0062190633329102674
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;O;Administração Pública, Defesa e Seguridade Social;84;Administração Pública, Defesa e Seguridade Social;842;Serviços Coletivos Prestados Pela Administração Pública;84248;Segurança e Ordem Pública;8424800;Segurança e Ordem Pública;6;0;6;;202;0.030612244897959183
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;O;Administração Pública, Defesa e Seguridade Social;84;Administração Pública, Defesa e Seguridade Social;842;Serviços Coletivos Prestados Pela Administração Pública;84256;Defesa Civil;8425600;Defesa Civil;0;0;0;;17;
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;O;Administração Pública, Defesa e Seguridade Social;84;Administração Pública, Defesa e Seguridade Social;843;Seguridade Social Obrigatória;84302;Seguridade Social Obrigatória;8430200;Seguridade Social Obrigatória;14;14;0;23.357142857142858;1955;0
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;P;Educação;85;Educação;851;Educação Infantil e Ensino Fundamental;85112;Educação Infantil - Creche;8511200;Educação Infantil - Creche;5965;4083;1882;24.49008082292432;174657;0.0108927796266821
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;P;Educação;85;Educação;851;Educação Infantil e Ensino Fundamental;85121;Educação Infantil - Pré-Escola;8512100;Educação Infantil - Pré-Escola;8648;6316;2332;35.332330588980369;218550;0.010785411020359082
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;P;Educação;85;Educação;851;Educação Infantil e Ensino Fundamental;85139;Ensino Fundamental;8513900;Ensino Fundamental;13544;10514;3030;40.013600913068288;405631;0.0075260617832543881
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;P;Educação;85;Educação;852;Ensino Médio;85201;Ensino Médio;8520100;Ensino Médio;4872;3668;1204;48.591057797164666;143387;0.0084679603046777744
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;P;Educação;85;Educação;853;Educação Superior;85317;Educação Superior - Graduação;8531700;Educação Superior - Graduação;2239;3292;-1053;45.566221142162817;189704;-0.0055201119749209724
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;P;Educação;85;Educação;853;Educação Superior;85325;Educação Superior - Graduação e Pós-Graduação;8532500;Educação Superior - Graduação e Pós-Graduação;2533;3786;-1253;44.898309561542526;238363;-0.0052292000534188031
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;P;Educação;85;Educação;853;Educação Superior;85333;Educação Superior - Pós-Graduação e Extensão;8533300;Educação Superior - Pós-Graduação e Extensão;482;518;-36;38.465250965250966;20305;-0.0017698244924045032
