competencia;ano;mes;cod_grande_grupamento;grande_grupamento;grupamento;cod_secao;secao;cod_divisao;divisao;cod_grupo;grupo;cod_classe;classe;cod_subclasse;subclasse;admitidos;desligados;saldo;tempo_de_emprego_desligados;estoque_mensal;vr_relativa
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;O;Administração Pública, Defesa e Seguridade Social;84;Administração Pública, Defesa e Seguridade Social;841;Administração do Estado e da Política Econômica e Social;84116;Administração Pública em Geral;8411600;Administração Pública em Geral;800;344;456;20.284883720930232;11792;0.040225829216654907
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;O;Administração Pública, Defesa e Seguridade Social;84;Administração Pública, Defesa e Seguridade Social;841;Administração do Estado e da Política Econômica e Social;84124;Regulação das Atividades de Saúde, Educação, Serviços Culturais e Outros Serviços Sociais;8412400;Regulação das Atividades de Saúde, Educação, Serviços Culturais e Outros Serviços Sociais;6;6;0;16.666666666666668;132;0
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;O;Administração Pública, Defesa e Seguridade Social;84;Administração Pública, Defesa e Seguridade Social;841;Administração do Estado e da Política Econômica e Social;84132;Regulação das Atividades Econômicas;8413200;Regulação das Atividades Econômicas;2;2;0;6;7;0
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;O;Administração Pública, Defesa e Seguridade Social;84;Administração Pública, Defesa e Seguridade Social;842;Serviços Coletivos Prestados Pela Administração Pública;84221;Defesa;8422100;Defesa;0;0;0;;32;
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;O;Administração Pública, Defesa e Seguridade Social;84;Administração Pública, Defesa e Seguridade Social;842;Serviços Coletivos Prestados Pela Administração Pública;84230;Justiça;8423000;Justiça;44;36;8;22.25;1038;0.0077669902912621356
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;O;Administração Pública, Defesa e Seguridade Social;84;Administração Pública, Defesa e Seguridade Social;843;Seguridade Social Obrigatória;84302;Seguridade Social Obrigatória;8430200;Seguridade Social Obrigatória;0;0;0;;200;
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;P;Educação;85;Educação;851;Educação Infantil e Ensino Fundamental;85112;Educação Infantil - Creche;8511200;Educação Infantil - Creche;373;216;157;22.476851851851851;7064;0.022730563196756912
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;P;Educação;85;Educação;851;Educação Infantil e Ensino Fundamental;85121;Educação Infantil - Pré-Escola;8512100;Educação Infantil - Pré-Escola;335;220;115;24.763636363636362;6056;0.019357010604275374
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;P;Educação;85;Educação;851;Educação Infantil e Ensino Fundamental;85139;Ensino Fundamental;8513900;Ensino Fundamental;273;222;51;38.265765765765764;12676;0.00403960396039604
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;P;Educação;85;Educação;852;Ensino Médio;85201;Ensino Médio;8520100;Ensino Médio;102;92;10;38.108695652173914;3750;0.00267379679144385
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;P;Educação;85;Educação;853;Educação Superior;85317;Educação Superior - Graduação;8531700;Educação Superior - Graduação;53;114;-61;71.2280701754386;7140;-0.0084710456880988747
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;P;Educação;85;Educação;853;Educação Superior;85325;Educação Superior - Graduação e Pós-Graduação;8532500;Educação Superior - Graduação e Pós-Graduação;107;326;-219;31.260736196319019;13448;-0.016023999414648424
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;P;Educação;85;Educação;853;Educação Superior;85333;Educação Superior - Pós-Graduação e Extensão;8533300;Educação Superior - Pós-Graduação e Extensão;11;11;0;36.727272727272727;2739;0
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;P;Educação;85;Educação;854;Educação Profissional de Nível Técnico e Tecnológico;85414;Educação Profissional de Nível Técnico;8541400;Educação Profissional de Nível Técnico;58;25;33;19.68;866;0.039615846338535411
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;P;Educação;85;Educação;854;Educação Profissional de Nível Técnico e Tecnológico;85422;Educação Profissional de Nível Tecnológico;8542200;Educação Profissional de Nível Tecnológico;0;2;-2;46.5;66;-0.029411764705882353
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;P;Educação;85;Educação;855;Atividades de Apoio à Educação;85503;Atividades de Apoio à Educação;8550302;Atividades de Apoio à Educação, Exceto Caixas Escolares;29;17;12;27.823529411764707;630;0.019417475728155338
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;P;Educação;85;Educação;859;Outras Atividades de Ensino;85911;Ensino de Esportes;8591100;Ensino de Esportes;8;10;-2;14.9;267;-0.0074349442379182153
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;P;Educação;85;Educação;859;Outras Atividades de Ensino;85929;Ensino de Arte e Cultura;8592901;Ensino de Dança;3;2;1;55;40;0.02564102564102564
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;P;Educação;85;Educação;859;Outras Atividades de Ensino;85929;Ensino de Arte e Cultura;8592903;Ensino de Música;11;4;7;9.25;87;0.0875
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;P;Educação;85;Educação;859;Outras Atividades de Ensino;85929;Ensino de Arte e Cultura;8592999;Ensino de Arte e Cultura não Especificado Anteriormente;5;7;-2;8.1428571428571423;75;-0.025974025974025976
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;P;Educação;85;Educação;859;Outras Atividades de Ensino;85937;Ensino de Idiomas;8593700;Ensino de Idiomas;351;240;111;12.020833333333334;3342;0.034354688950789226
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;P;Educação;85;Educação;859;Outras Atividades de Ensino;85996;Atividades de Ensino não Especificadas Anteriormente;8599601;Formação de Condutores;148;138;10;33.79710144927536;3861;0.0025967281225655675
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;P;Educação;85;Educação;859;Outras Atividades de Ensino;85996;Atividades de Ensino não Especificadas Anteriormente;8599602;Cursos de Pilotagem;8;6;2;42.5;47;0.044444444444444446
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;P;Educação;85;Educação;859;Outras Atividades de Ensino;85996;Atividades de Ensino não Especificadas Anteriormente;8599603;Treinamento em Informática;73;50;23;9.36;410;0.059431524547803614
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;P;Educação;85;Educação;859;Outras Atividades de Ensino;85996;Atividades de Ensino não Especificadas Anteriormente;8599604;Treinamento em Desenvolvimento Profissional e Gerencial;215;156;59;10.653846153846153;2631;0.022939346811819597
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;P;Educação;85;Educação;859;Outras Atividades de Ensino;85996;Atividades de Ensino não Especificadas Anteriormente;8599605;Cursos Preparatórios para Concursos;9;11;-2;12.363636363636363;352;-0.0056497175141242938
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;P;Educação;85;Educação;859;Outras Atividades de Ensino;85996;Atividades de Ensino não Especificadas Anteriormente;8599699;Outras Atividades de Ensino não Especificadas Anteriormente;191;94;97;35.787234042553195;5925;0.016643788606726148
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;Q;Saúde Humana e Serviços Sociais;86;Atividades de Atenção À Saúde Humana;861;Atividades de Atendimento Hospitalar;86101;Atividades de Atendimento Hospitalar;8610101;Atividades de Atendimento Hospitalar, Exceto Pronto-Socorro e Unidades para Atendimento a Urgências;775;703;72;24.300142247510667;23323;0.0030966410046879703
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;Q;Saúde Humana e Serviços Sociais;86;Atividades de Atenção À Saúde Humana;861;Atividades de Atendimento Hospitalar;86101;Atividades de Atendimento Hospitalar;8610102;Atividades de Atendimento em Pronto-Socorro e Unidades Hospitalares para Atendimento a Urgências;137;166;-29;24.054216867469879;9237;-0.0031297215627023528
202001;2020;01;5;Serviços;Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais;Q;Saúde Humana e Serviços Sociais;86;Atividades de Atenção À Saúde Humana;862;Serviços Móveis de Atendimento a Urgências e de Remoção de Pacientes;86216;Serviços Móveis de Atendimento a Urgências;8621601;Uti Móvel;4;8;-4;25.125;0;
